Customer_ID,Full_Name,Age,Gender,Occupation,Is_Active,Region_ID
1,Lazizov Abdurahmon,58,Erkak,Boshqa,True,2
2,Bibisora Malikova,32,Erkak,Savdogar,True,3
3,Kumush Jasminova,52,Ayol,O‘qituvchi,True,2
4,Muhammadamir Muhammadsodiqov,31,Erkak,Huquqshunos,True,4
5,Jahongir Doniyorov,59,Ayol,Dasturchi,True,12
6,Doniyor Salohiddinov,35,Erkak,Muhandis,True,13
7,Abdulloh Akbarov,39,Erkak,Dasturchi,False,5
8,Maryamova Hadicha,39,Erkak,Talaba,True,2
9,Safiya Mushtariyeva,72,Ayol,O‘qituvchi,True,6
10,Jahongirov Aziz,52,Ayol,Shifokor,True,2
11,Mumtoz Nozimova,71,Ayol,Hisobchi,True,11
12,Zaynabova Safina,22,Erkak,Tadbirkor,False,1
13,Kumushova Mohinur,72,Erkak,Talaba,True,4
14,Zakariyoev Laziz,58,Ayol,Muhandis,True,14
15,Shahriyorov Shohrux,31,Ayol,Boshqa,False,11
16,Jahongirov Abdurahmon,59,Erkak,Huquqshunos,True,2
17,Musfirayeva Elif,28,Ayol,Tadbirkor,False,8
18,Solihayeva Elif,58,Erkak,Savdogar,True,12
19,Diyorov Shohrux,67,Erkak,Dasturchi,True,13
20,Ibrohim Yunusov,69,Ayol,Tadbirkor,True,6
21,Farizayeva Roziya,76,Ayol,Dasturchi,True,10
22,Afruza Sadiyeva,43,Ayol,Muhandis,True,11
23,Javohir Ismoilov,33,Ayol,Boshqa,True,12
24,Solihayeva Odina,75,Ayol,Ishlab chiqaruvchi,True,10
25,Bonueva Zahro,26,Ayol,Shifokor,True,9
26,Otabekov Mustafo,73,Erkak,Savdogar,True,2
27,Shahzoda Imronov,61,Erkak,Talaba,True,7
28,Zahroyeva Sevara,47,Ayol,Huquqshunos,True,9
29,Hadija Sarvinozova,18,Erkak,Savdogar,True,11
30,Sanjarov Diyor,66,Ayol,Shifokor,True,5
31,Muizzova Asmira,28,Erkak,Boshqa,True,8
32,Nozima Hadichayeva,34,Erkak,Huquqshunos,False,9
33,Bonu Aliyeva,73,Ayol,Savdogar,True,11
34,Shohjahonov Shahzod,30,Ayol,Muhandis,True,3
35,Isfandiyor Doniyorov,67,Erkak,Hisobchi,True,9
36,Farhod Muhammadaliyev,19,Ayol,Tadbirkor,True,2
37,Mohlaroyim Zinnurova,33,Erkak,Shifokor,True,10
38,Temir Isfandiyorov,70,Erkak,Muhandis,True,2
39,Rayyona Muxlisayeva,78,Erkak,Tadbirkor,True,9
40,Shahzoda Abbosov,56,Erkak,Huquqshunos,True,7
41,Farhodov Asad,62,Ayol,Talaba,False,4
42,Diyor Asilbekov,59,Ayol,Huquqshunos,True,6
43,Abubakrov Damir,33,Erkak,Ishlab chiqaruvchi,True,4
44,Muhsinova Nuriya,53,Erkak,O‘qituvchi,True,4
45,Nilufarova Safina,58,Erkak,Shifokor,False,1
46,Anvarov Zakariyo,73,Erkak,Huquqshunos,True,6
47,Dilnoz Rayyonova,60,Erkak,Huquqshunos,True,8
48,Asilayeva Sabrina,77,Ayol,Dasturchi,True,10
49,Mubinova Laylo,69,Erkak,Shifokor,True,7
50,Muslimaeva Ruqiya,45,Ayol,Talaba,True,6
51,Shahnozova Soliha,64,Erkak,O‘qituvchi,True,1
52,Mehrimohova Yasmina,39,Erkak,Dasturchi,True,13
53,Odinaeva Yasina,52,Erkak,Talaba,True,8
54,Mehrimoh Ansorova,47,Erkak,Nafaqaxo‘r,True,4
55,Umarov Said,72,Erkak,O‘qituvchi,True,9
56,Muhsina Farizayeva,52,Erkak,Shifokor,False,14
57,Ansora Shukronova,72,Erkak,Talaba,True,4
58,Muhammadaliyev Akbar,31,Ayol,O‘qituvchi,True,14
59,Farizov Javohir,18,Ayol,Nafaqaxo‘r,True,7
60,Abduazizov Sanjar,62,Ayol,Muhandis,True,12
61,Usmonov Daler,31,Erkak,Boshqa,True,1
62,Boburov Muhammadumar,21,Ayol,Huquqshunos,False,10
63,Mohlaroyimova Sakina,51,Erkak,Huquqshunos,True,3
64,Sardorov Saddam,29,Erkak,Savdogar,True,2
65,Diyorov Ali,43,Erkak,Hisobchi,True,2
66,Dilnurova Musfira,57,Ayol,Savdogar,True,2
67,Muslimov Zayd,51,Ayol,Dasturchi,True,6
68,Murod Farhodov,38,Ayol,Talaba,True,4
69,Aziza Ansorova,59,Ayol,Ishlab chiqaruvchi,False,5
70,Jamshid Asadov,77,Erkak,Nafaqaxo‘r,True,2
71,Sevinch Sevinchova,54,Erkak,Huquqshunos,True,2
72,Muslim Xolidov,34,Ayol,Shifokor,True,3
73,Yasmina Milanova,41,Erkak,Nafaqaxo‘r,True,5
74,Farizayeva Sarvinoz,63,Erkak,Savdogar,True,5
75,Charosova Aylin,37,Erkak,Muhandis,True,11
76,Abdurahmon Muhammadrizoyev,74,Erkak,Tadbirkor,True,2
77,Diyora Munisayeva,31,Ayol,Dasturchi,True,12
78,Nuriya Iymonova,72,Ayol,Tadbirkor,False,5
79,Jahongir Kamronov,72,Erkak,Savdogar,True,1
80,Kamron Shahriyorov,35,Erkak,Ishlab chiqaruvchi,True,1
81,Laylo Iymonova,58,Erkak,Boshqa,True,5
82,Abdullohov Saddam,63,Erkak,Shifokor,True,7
83,Asila Farzonova,74,Erkak,Huquqshunos,True,12
84,Iforayeva Fotima,41,Erkak,Talaba,True,10
85,Mahmudov Sanjar,37,Erkak,Ishlab chiqaruvchi,True,6
86,Muizza Nilufarova,33,Erkak,Ishlab chiqaruvchi,True,11
87,Amirov Umar,74,Ayol,Hisobchi,True,14
88,Nurmuhammadov Laziz,77,Erkak,Muhandis,True,4
89,Aylin Ruqiyayeva,19,Ayol,Talaba,True,3
90,Sevara Zaynabova,73,Erkak,Tadbirkor,True,12
91,Maryamova Sadia,62,Ayol,O‘qituvchi,True,2
92,Mushtariyeva Zarina,32,Ayol,Ishlab chiqaruvchi,True,4
93,Azizova Sabrina,68,Erkak,Dasturchi,True,14
94,Yahyo Muhammadov,30,Ayol,Tadbirkor,True,7
95,Muhammadov Abdumalik,79,Ayol,Ishlab chiqaruvchi,True,13
96,Abbos Muhammadamirov,43,Ayol,O‘qituvchi,True,11
97,Akmalov Said,80,Erkak,Hisobchi,False,5
98,Islom Humoyunov,34,Erkak,Hisobchi,True,1
99,Ruqiyayeva Sakina,64,Ayol,Talaba,True,13
100,Rumaysayeva Asmira,50,Ayol,Hisobchi,True,2
101,Mironshoh Humoyunov,20,Ayol,O‘qituvchi,True,12
102,Muzayyanova Asma,69,Erkak,Ishlab chiqaruvchi,True,9
103,Yasinaeva Shahnoza,78,Ayol,Hisobchi,True,11
104,Robiyayeva Feruza,72,Ayol,Huquqshunos,True,2
105,Ulug‘bekov Ulug‘bek,44,Ayol,Boshqa,True,6
106,Yasinov Shahzod,26,Ayol,Savdogar,False,4
107,Zaynab Laylova,61,Erkak,Hisobchi,True,12
108,Halid Imronov,43,Erkak,Tadbirkor,True,9
109,Miranov Jalol,45,Ayol,Nafaqaxo‘r,True,13
110,Odina Marjonova,61,Ayol,Boshqa,True,4
111,Muhammadazizov Behruz,23,Ayol,Shifokor,True,5
112,Zakariyoev Said,66,Ayol,Dasturchi,True,4
113,Yunus Sarvarov,27,Erkak,Dasturchi,False,1
114,Sa’diya Asmiraeva,57,Erkak,Nafaqaxo‘r,True,14
115,Muizza Oyshayeva,58,Erkak,Boshqa,True,10
116,Muhammadumar Abrorov,49,Erkak,Muhandis,True,7
117,Halid Akobirov,18,Erkak,Talaba,True,13
118,Abdulhamid Doniyorov,69,Ayol,O‘qituvchi,True,12
119,Aylin Mohinurova,76,Erkak,Nafaqaxo‘r,True,14
120,Madinaeva Muizza,47,Ayol,Nafaqaxo‘r,True,11
121,Saddam Saddamov,64,Ayol,Huquqshunos,True,9
122,Asmiraeva Bonu,28,Ayol,Nafaqaxo‘r,True,12
123,Muhammadyasin Mustafayev,33,Ayol,Huquqshunos,True,14
124,Ahmad Sanjarov,33,Ayol,Shifokor,True,5
125,Farhod Ahmadov,33,Ayol,Ishlab chiqaruvchi,True,5
126,Ansorova Nilufar,23,Erkak,Dasturchi,True,3
127,Mahmudov Zakariyo,27,Erkak,Shifokor,True,12
128,Farhodov Muhammadamir,39,Ayol,Talaba,True,9
129,Zarina Habibova,71,Ayol,Hisobchi,False,7
130,Muhammadayub Akobirov,19,Ayol,Nafaqaxo‘r,True,14
131,Robiyayeva Sabrina,40,Ayol,Talaba,True,5
132,Muhammadyusuf Muhammadyasinov,65,Erkak,Nafaqaxo‘r,True,9
133,Fuzaylov Muhammadsafo,45,Erkak,Talaba,True,8
134,Ansorova Rayyona,61,Ayol,Boshqa,True,13
135,Aliya Saidova,47,Erkak,Talaba,True,3
136,Nurmuhammadov Shohrux,60,Erkak,Savdogar,True,1
137,Samina Afruzova,73,Erkak,O‘qituvchi,True,8
138,Islom Farizov,38,Ayol,Ishlab chiqaruvchi,True,4
139,Said Bilolov,74,Ayol,Talaba,True,7
140,Muhammadsodiq Yusupov,23,Erkak,Boshqa,True,8
141,Muhammadrizo Sardorov,78,Erkak,Savdogar,True,6
142,Azizov Amir,79,Erkak,O‘qituvchi,False,11
143,Imron Saddamov,30,Erkak,Hisobchi,True,14
144,Sakina Saminova,26,Erkak,Hisobchi,False,8
145,Yasmina Zahroyeva,47,Ayol,Ishlab chiqaruvchi,True,12
146,Laylo Shahnozova,56,Erkak,Muhandis,False,12
147,Laylo Amirayeva,24,Erkak,Tadbirkor,True,10
148,Samiya Amirayeva,76,Ayol,Boshqa,True,7
149,Laylo Elifova,55,Erkak,Shifokor,True,12
150,Diyora Sumayyeva,37,Erkak,Hisobchi,True,14
151,Bibisorayeva Amira,40,Ayol,Savdogar,True,9
152,Temirov Said,50,Ayol,O‘qituvchi,True,11
153,Jamshidov Otabek,70,Erkak,Talaba,False,8
154,Ahmad Muhammadrizoyev,58,Ayol,Boshqa,True,14
155,Sumayya Robiyayeva,29,Ayol,Hisobchi,True,12
156,Mohinur Zaynabova,52,Ayol,Nafaqaxo‘r,True,13
157,Mironshohov Otabek,64,Ayol,Ishlab chiqaruvchi,True,10
158,Zubayrov Said,71,Ayol,Nafaqaxo‘r,True,2
159,Sevinch Saminova,47,Ayol,Ishlab chiqaruvchi,True,10
160,Muxlisayeva Diyora,72,Erkak,Nafaqaxo‘r,True,6
161,Farangizova Nilufar,69,Ayol,Tadbirkor,True,5
162,Iforayeva Shahnoza,62,Erkak,Huquqshunos,False,5
163,Asadov Muhammadamir,23,Ayol,Nafaqaxo‘r,True,4
164,Jasmina Alzinova,33,Ayol,Savdogar,True,12
165,Oysha Muslimaeva,46,Erkak,Shifokor,True,13
166,Bobur Mustafayev,43,Erkak,Tadbirkor,True,12
167,Malikova Aliya,41,Ayol,Talaba,False,8
168,Yasminova Ansora,53,Ayol,Boshqa,True,6
169,Marjona Mursalinaeva,37,Erkak,Shifokor,True,5
170,Murod Zakariyoev,38,Erkak,Dasturchi,True,2
171,Zubayrov Kamron,48,Ayol,Shifokor,True,5
172,Safiya Hadijayeva,36,Ayol,Muhandis,True,4
173,Bilolov Jasur,63,Erkak,Tadbirkor,True,9
174,Dunyo Zaynabova,21,Ayol,Boshqa,False,9
175,Laziz Azizov,58,Ayol,Shifokor,True,14
176,Habibov Jamshid,54,Ayol,Nafaqaxo‘r,True,5
177,Asmanova Sabina,29,Ayol,Nafaqaxo‘r,True,1
178,Oyshayeva Mehrimoh,22,Ayol,Shifokor,True,7
179,Muhammadaziz Abdulhamidov,61,Erkak,Muhandis,True,1
180,Safinayeva Iymona,78,Erkak,Dasturchi,True,5
181,Durdona Muzdalifayeva,66,Erkak,Huquqshunos,True,7
182,Farizov Fuzayl,76,Ayol,Hisobchi,False,8
183,Fotimayeva Robiya,37,Erkak,Hisobchi,False,10
184,Mursalina Farizayeva,24,Erkak,Savdogar,True,13
185,Dilnurova Farangiz,60,Erkak,Dasturchi,True,2
186,Muhammadamir Gabriyelov,22,Erkak,Talaba,True,3
